City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Bonthe,SL,81.12,light rain,7.5264,-12.505,Bonthe Holiday Village
3,Agadir,MA,79.25,few clouds,30.4202,-9.5982,Iberostar Founty Beach
4,Pedernales,DO,87.62,broken clouds,18.0384,-71.744,Hotel Costa Marina
8,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
11,Price,US,77.72,clear sky,39.5994,-110.8107,National 9 - Price River Inn
17,Dingle,PH,77.38,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
30,Butaritari,KI,81.5,light rain,3.0707,172.7902,Isles Sunset Lodge
31,Pacific Grove,US,80.8,overcast clouds,36.6177,-121.9166,Lovers Point Inn
34,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
35,Kosovska Mitrovica,XK,80.94,scattered clouds,42.8833,20.8667,BB
41,Trincomalee,LK,80.29,moderate rain,8.5711,81.2335,Welcombe Hotel
42,Vanimo,PG,77.13,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
45,Valasska Bystrice,CZ,76.87,broken clouds,49.4151,18.1098,Roubenka na Páleném
46,Atuona,PF,78.3,light rain,-9.8,-139.0333,Villa Enata
52,Aksu,CN,83.68,clear sky,41.1231,80.2644,Pudong Holiday Hotel
60,Hilo,US,75.61,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
63,Ajdabiya,LY,86.83,clear sky,30.7554,20.2263,Almadina Hotel
64,Jamestown,US,86.02,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
80,Namatanai,PG,78.78,light rain,-3.6667,152.4333,Seagulls Inn Namatani
82,Yumen,CN,75.49,few clouds,40.2833,97.2,
87,Warri,NG,77.45,overcast clouds,5.5167,5.75,BON Hotel Delta
88,Banjar,ID,80.46,broken clouds,-8.19,114.9675,The Hamsa Resort
90,Bubaque,GW,78.08,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
95,Bethel,US,87.31,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
96,Sao Joao Da Barra,BR,80.69,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
97,Jiwani,PK,83.23,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
98,Pochutla,MX,84.81,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
102,Sumenep,ID,80.19,broken clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
110,Hithadhoo,MV,82.85,overcast clouds,-0.6,73.0833,Scoop Guest House
112,Tukrah,LY,86.79,clear sky,32.5341,20.5791,Lokta restaurant
118,Shenxian,CN,79.25,clear sky,36.2411,115.6672,Xinhe Hotel
120,Omboue,GA,75.22,overcast clouds,-1.5746,9.2618,Hotel Olako
122,Santa Cruz Del Sur,CU,84.61,light rain,20.7147,-77.9956,
126,Sao Filipe,CV,75.97,scattered clouds,14.8961,-24.4956,Hotel Xaguate
128,Ponta Do Sol,PT,77.0,clear sky,32.6667,-17.1,Hotel do Campo
129,George Town,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
133,Tete,MZ,80.69,clear sky,-16.1564,33.5867,Zambeze Paraíso Misterioso
137,Chandrapur,IN,79.09,overcast clouds,19.95,79.3,Surya Guest House
142,Saint Anthony,US,77.92,overcast clouds,45.0205,-93.21799999999999,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
143,Patiya,BD,78.22,overcast clouds,22.2931,91.9762,R Village
148,Ha Giang,VN,80.89,overcast clouds,22.8333,104.9833,Truong Xuan Ecolodge
153,Faanui,PF,79.52,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
158,Oktyabrskoye,RU,75.34,scattered clouds,43.0645,44.7417,Prolesok Mini-hotel
