City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Esperance,AU,-33.8667,121.9,60.13,44,37,22.88,light rain
1,Bonthe,SL,7.5264,-12.505,81.12,76,96,9.42,light rain
2,Gobabis,NA,-22.45,18.9667,63.63,21,0,10.92,clear sky
3,Agadir,MA,30.4202,-9.5982,79.25,52,12,6.64,few clouds
4,Pedernales,DO,18.0384,-71.744,87.62,57,79,5.77,broken clouds
5,Ushuaia,AR,-54.8,-68.3,47.86,53,0,9.22,clear sky
6,Zhigansk,RU,66.7697,123.3711,61.23,82,100,9.22,moderate rain
7,Tiksi,RU,71.6872,128.8694,34.18,87,99,7.65,overcast clouds
8,Puerto Ayora,EC,-0.7393,-90.3518,80.56,87,63,5.99,broken clouds
9,Tura,IN,25.5198,90.2201,74.41,95,79,4.92,heavy intensity rain
10,Narsaq,GL,60.9167,-46.05,59.22,71,97,4.16,overcast clouds
11,Price,US,39.5994,-110.8107,77.72,28,1,0.0,clear sky
12,Naryan-Mar,RU,67.6713,53.087,53.56,56,99,9.33,overcast clouds
13,Sitka,US,57.0531,-135.33,62.49,67,40,3.44,scattered clouds
14,Tessalit,ML,20.1986,1.0114,109.38,5,5,11.7,clear sky
15,Vagur,FO,61.4732,-6.8119,49.42,90,31,15.46,scattered clouds
16,Khandyga,RU,62.6667,135.6,59.36,84,16,3.65,few clouds
17,Dingle,PH,10.9995,122.6711,77.38,89,100,3.13,overcast clouds
18,Longyearbyen,SJ,78.2186,15.6401,48.04,61,0,4.61,clear sky
19,Pevek,RU,69.7008,170.3133,35.6,90,69,7.9,broken clouds
20,Saskylakh,RU,71.9167,114.0833,44.31,81,100,13.71,light rain
21,Warrnambool,AU,-38.3833,142.4833,42.82,87,0,6.6,clear sky
22,Tokur,RU,53.1333,132.9,52.3,96,87,1.21,overcast clouds
23,Cidreira,BR,-30.1811,-50.2056,53.38,91,100,17.81,moderate rain
24,Punta Alta,AR,-38.8759,-62.0736,48.13,65,95,22.55,light rain
25,Punta Arenas,CL,-53.15,-70.9167,48.31,53,75,11.5,broken clouds
26,Khatanga,RU,71.9667,102.5,48.67,56,100,11.56,overcast clouds
27,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,77,20,16.11,few clouds
28,Quibdo,CO,5.6947,-76.6611,88.5,57,49,2.71,scattered clouds
29,Dikson,RU,73.5069,80.5464,34.9,77,99,10.71,overcast clouds
30,Butaritari,KI,3.0707,172.7902,81.5,78,100,13.22,light rain
31,Pacific Grove,US,36.6177,-121.9166,80.8,91,90,7.0,overcast clouds
32,Saint-Augustin,CA,51.226,-58.6502,59.81,90,98,8.97,overcast clouds
33,Busselton,AU,-33.65,115.3333,56.08,71,80,18.57,light rain
34,Georgetown,MY,5.4112,100.3354,80.53,87,20,6.91,few clouds
35,Kosovska Mitrovica,XK,42.8833,20.8667,80.94,58,33,5.79,scattered clouds
36,Ushtobe,KZ,45.2514,77.9838,69.39,31,92,14.43,overcast clouds
37,Tasiilaq,GL,65.6145,-37.6368,51.96,70,14,5.17,few clouds
38,Valga,EE,57.7778,26.0473,72.0,72,100,6.15,overcast clouds
39,Saldanha,ZA,-33.0117,17.9442,55.54,82,16,13.29,few clouds
40,San Patricio,US,28.017,-97.5169,91.81,54,32,12.68,scattered clouds
41,Trincomalee,LK,8.5711,81.2335,80.29,77,99,10.4,moderate rain
42,Vanimo,PG,-2.6741,141.3028,77.13,91,41,4.92,scattered clouds
43,Fukue,JP,32.6881,128.8419,73.58,86,81,2.15,light rain
44,Saint-Philippe,RE,-21.3585,55.7679,72.95,82,36,9.86,scattered clouds
45,Valasska Bystrice,CZ,49.4151,18.1098,76.87,70,72,4.76,broken clouds
46,Atuona,PF,-9.8,-139.0333,78.3,77,17,20.87,light rain
47,Hermanus,ZA,-34.4187,19.2345,58.8,69,89,16.6,overcast clouds
48,Chokwe,MZ,-24.5333,32.9833,67.62,82,0,6.24,clear sky
49,Albany,US,42.6001,-73.9662,90.25,57,97,10.22,overcast clouds
50,Cherskiy,RU,68.75,161.3,66.15,45,68,6.17,broken clouds
51,Bambous Virieux,MU,-20.3428,57.7575,74.21,78,5,16.22,clear sky
52,Aksu,CN,41.1231,80.2644,83.68,19,3,9.46,clear sky
53,Rikitea,PF,-23.1203,-134.9692,74.55,78,21,10.31,few clouds
54,Aksarka,RU,66.5606,67.7975,52.54,84,69,8.48,broken clouds
55,Cape Town,ZA,-33.9258,18.4232,59.88,74,76,4.0,broken clouds
56,Hobart,AU,-42.8794,147.3294,42.66,86,25,3.0,scattered clouds
57,Chulman,RU,56.8479,124.9104,55.94,91,25,1.88,scattered clouds
58,Dombas,NO,62.0696,9.1235,70.39,37,90,5.39,overcast clouds
59,Namibe,AO,-15.1961,12.1522,70.32,71,3,12.75,clear sky
60,Hilo,US,19.7297,-155.09,75.61,88,90,6.91,moderate rain
61,Matiri,TZ,-10.75,34.9,57.56,59,7,4.21,clear sky
62,Qujing,CN,25.4833,103.7833,65.82,91,100,4.36,moderate rain
63,Ajdabiya,LY,30.7554,20.2263,86.83,42,0,17.96,clear sky
64,Jamestown,US,42.097,-79.2353,86.02,58,20,11.99,few clouds
65,Chuy,UY,-33.6971,-53.4616,51.15,73,48,16.33,scattered clouds
66,Mehamn,NO,71.0357,27.8492,57.15,62,20,9.22,few clouds
67,Kidal,ML,18.4411,1.4078,108.5,5,5,14.61,clear sky
68,Solnechnyy,RU,50.7214,136.6319,56.08,87,95,2.91,overcast clouds
69,Berdigestyakh,RU,62.0989,126.6992,61.09,66,21,3.6,few clouds
70,Rocha,UY,-34.4833,-54.3333,49.44,78,54,16.93,broken clouds
71,Kodiak,US,57.79,-152.4072,47.71,93,90,6.91,mist
72,Mahebourg,MU,-20.4081,57.7,74.25,79,3,16.33,clear sky
73,Nemuro,JP,43.3236,145.575,53.6,99,100,5.48,overcast clouds
74,Yellowknife,CA,62.456,-114.3525,60.57,51,99,11.01,overcast clouds
75,Tateyama,JP,34.9833,139.8667,73.15,89,100,9.24,overcast clouds
76,Wajima,JP,37.4,136.9,68.88,87,14,5.06,few clouds
77,Hasaki,JP,35.7333,140.8333,68.4,93,100,14.45,light rain
78,Torbay,CA,47.6666,-52.7314,74.88,77,99,13.87,overcast clouds
79,Nouadhibou,MR,20.931,-17.0347,68.95,81,6,30.76,clear sky
80,Namatanai,PG,-3.6667,152.4333,78.78,84,100,5.84,light rain
81,Airai,TL,-8.9266,125.4092,56.26,88,66,3.58,broken clouds
82,Yumen,CN,40.2833,97.2,75.49,25,21,2.8,few clouds
83,Kaitangata,NZ,-46.2817,169.8464,42.93,79,100,10.18,overcast clouds
84,Lumberton,US,34.6182,-79.0086,91.35,46,24,4.97,few clouds
85,Broome,US,42.2506,-75.833,88.02,57,20,3.0,few clouds
86,Bayangol,RU,50.6977,103.4656,46.58,96,75,3.56,broken clouds
87,Warri,NG,5.5167,5.75,77.45,85,99,6.02,overcast clouds
88,Banjar,ID,-8.19,114.9675,80.46,90,67,3.38,broken clouds
89,Zyryanka,RU,65.75,150.85,65.07,45,87,7.54,overcast clouds
90,Bubaque,GW,11.2833,-15.8333,78.08,83,84,9.6,broken clouds
91,Mataura,NZ,-46.1927,168.8643,41.49,95,100,11.34,light rain
92,Kapaa,US,22.0752,-159.319,73.72,83,75,8.05,broken clouds
93,Comodoro Rivadavia,AR,-45.8667,-67.5,51.66,43,0,8.05,clear sky
94,Kodinsk,RU,58.6881,99.1844,52.5,79,99,3.49,overcast clouds
95,Bethel,US,41.3712,-73.414,87.31,72,75,1.99,broken clouds
96,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,62,15,17.9,few clouds
97,Jiwani,PK,25.05,61.7417,83.23,77,1,13.94,clear sky
98,Pochutla,MX,15.7432,-96.4661,84.81,55,100,4.21,overcast clouds
99,Ambilobe,MG,-13.2,49.05,70.2,72,39,3.47,scattered clouds
100,Upernavik,GL,72.7868,-56.1549,39.47,80,56,12.64,broken clouds
101,Kenai,US,60.5544,-151.2583,54.09,83,75,0.0,broken clouds
102,Sumenep,ID,-7.0167,113.8667,80.19,83,64,9.37,broken clouds
103,Tuktoyaktuk,CA,69.4541,-133.0374,46.44,97,99,8.03,light rain
104,Avarua,CK,-21.2078,-159.775,71.65,60,75,14.97,broken clouds
105,Latina,IT,41.45,13.1,94.93,36,30,1.01,scattered clouds
106,Bredasdorp,ZA,-34.5322,20.0403,58.28,73,94,1.99,overcast clouds
107,Mareeba,AU,-17.0,145.4333,66.92,89,59,2.06,broken clouds
108,Cabo San Lucas,MX,22.8909,-109.9124,96.8,40,1,16.11,clear sky
109,Aklavik,CA,68.2191,-135.0107,65.28,61,55,12.41,broken clouds
110,Hithadhoo,MV,-0.6,73.0833,82.85,71,95,5.84,overcast clouds
111,Trelew,AR,-43.249,-65.3051,47.89,52,64,12.35,broken clouds
112,Tukrah,LY,32.5341,20.5791,86.79,44,0,8.72,clear sky
113,Saint George,US,37.1041,-113.5841,96.8,18,1,3.0,clear sky
114,Thompson,CA,55.7435,-97.8558,69.28,40,85,9.04,overcast clouds
115,Egvekinot,RU,66.3167,-179.1667,38.62,83,97,4.63,overcast clouds
116,Huancavelica,PE,-12.7667,-74.9833,48.4,44,79,10.78,broken clouds
117,Cayenne,GF,4.9333,-52.3333,89.64,71,0,4.0,clear sky
118,Shenxian,CN,36.2411,115.6672,79.25,68,0,6.98,clear sky
119,Dongning,CN,44.0622,131.1207,63.95,92,100,2.06,overcast clouds
120,Omboue,GA,-1.5746,9.2618,75.22,84,100,8.37,overcast clouds
121,East London,ZA,-33.0153,27.9116,65.35,39,41,7.7,scattered clouds
122,Santa Cruz Del Sur,CU,20.7147,-77.9956,84.61,66,73,7.54,light rain
123,Yulara,AU,-25.2406,130.9889,46.24,61,46,6.91,scattered clouds
124,Haines Junction,CA,60.7522,-137.5108,64.74,56,48,2.89,scattered clouds
125,Port Alfred,ZA,-33.5906,26.891,63.43,44,28,10.71,scattered clouds
126,Sao Filipe,CV,14.8961,-24.4956,75.97,81,31,8.77,scattered clouds
127,Lloydminster,CA,53.2835,-110.0016,73.53,52,49,4.27,scattered clouds
128,Ponta Do Sol,PT,32.6667,-17.1,77.0,68,10,3.06,clear sky
129,George Town,MY,5.4112,100.3354,80.53,87,20,6.91,few clouds
130,Portland,US,45.5234,-122.6762,99.1,44,1,3.0,clear sky
131,Geraldton,AU,-28.7667,114.6,61.21,94,90,8.05,overcast clouds
132,Port Lincoln,AU,-34.7333,135.8667,53.38,86,5,8.19,clear sky
133,Tete,MZ,-16.1564,33.5867,80.69,29,0,4.61,clear sky
134,Noumea,NC,-22.2763,166.4572,72.0,99,31,8.95,scattered clouds
135,Laguna,US,38.421,-121.4238,99.64,55,1,9.22,clear sky
136,Ginda,IN,30.6945,78.4932,66.78,80,39,4.47,scattered clouds
137,Chandrapur,IN,19.95,79.3,79.09,87,97,10.67,overcast clouds
138,Port Hedland,AU,-20.3167,118.5667,62.65,88,75,5.75,broken clouds
139,Goure,NE,13.9835,10.2704,102.25,15,95,5.61,overcast clouds
140,Luderitz,NA,-26.6481,15.1594,56.62,74,1,1.88,clear sky
141,Abu Dhabi,AE,24.4667,54.3667,104.11,30,0,2.3,clear sky
