City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Estelle,US,2021-06-13 16:56:37,29.8458,-90.1067,94.03,63,94,7.0
1,Busselton,AU,2021-06-13 16:56:37,-33.65,115.3333,57.09,83,99,22.21
2,Rikitea,PF,2021-06-13 16:56:37,-23.1203,-134.9692,74.91,76,14,9.33
3,Kavieng,PG,2021-06-13 16:56:37,-2.5744,150.7967,81.93,77,13,10.98
4,Umea,SE,2021-06-13 16:56:38,63.8284,20.2597,62.53,36,0,16.11
5,Tasiilaq,GL,2021-06-13 16:56:38,65.6145,-37.6368,34.92,88,100,1.66
6,Bojnurd,IR,2021-06-13 16:56:38,37.4747,57.329,85.95,32,20,9.22
7,Carnarvon,AU,2021-06-13 16:56:39,-24.8667,113.6333,60.87,75,0,10.36
8,Sorland,NO,2021-06-13 16:56:39,67.667,12.6934,48.27,66,100,19.66
9,Punta Arenas,CL,2021-06-13 16:56:39,-53.15,-70.9167,41.11,75,0,16.11
10,Navalcarnero,ES,2021-06-13 16:56:40,40.2891,-4.012,90.82,28,23,17.43
11,Gebre Guracha,ET,2021-06-13 16:56:40,9.8,38.4,65.95,31,100,6.4
12,Emerald,AU,2021-06-13 16:56:40,-23.5333,148.1667,66.34,100,75,6.91
13,Albany,US,2021-06-13 16:56:41,42.6001,-73.9662,80.8,57,24,5.44
14,Kondopoga,RU,2021-06-13 16:56:41,62.2057,34.2614,64.08,59,75,3.06
15,Viedma,AR,2021-06-13 16:56:42,-40.8135,-62.9967,59.99,58,100,8.52
16,Coihaique,CL,2021-06-13 16:56:42,-45.5752,-72.0662,41.61,87,90,2.3
17,Victoria,HK,2021-06-13 16:56:06,22.2855,114.1577,85.32,91,100,8.99
18,New Norfolk,AU,2021-06-13 16:56:42,-42.7826,147.0587,51.93,89,100,0.54
19,Pevek,RU,2021-06-13 16:56:43,69.7008,170.3133,39.54,68,50,1.34
20,Prince Rupert,CA,2021-06-13 16:56:43,54.3161,-130.3201,53.29,96,90,0.0
21,Norman Wells,CA,2021-06-13 16:56:43,65.282,-126.8329,50.04,100,90,14.97
22,Mataura,NZ,2021-06-13 16:56:43,-46.1927,168.8643,51.53,98,100,4.16
23,Xianshuigu,CN,2021-06-13 16:56:44,38.985,117.3828,75.2,100,96,6.71
24,Yellowknife,CA,2021-06-13 16:56:44,62.456,-114.3525,55.92,82,75,14.97
25,San Ignacio,BZ,2021-06-13 16:56:44,17.1561,-89.0714,80.74,83,75,0.0
26,Iqaluit,CA,2021-06-13 16:56:45,63.7506,-68.5145,38.93,80,75,8.99
27,Hobart,AU,2021-06-13 16:56:45,-42.8794,147.3294,52.27,97,90,0.0
28,Hilo,US,2021-06-13 16:56:45,19.7297,-155.09,72.81,81,42,4.0
29,Jatai,BR,2021-06-13 16:56:46,-17.8814,-51.7144,83.66,35,18,1.14
30,Cape Town,ZA,2021-06-13 16:56:46,-33.9258,18.4232,59.41,75,20,6.91
31,Vaini,TO,2021-06-13 16:56:46,-21.2,-175.2,71.76,83,75,8.05
32,Bandarbeyla,SO,2021-06-13 16:56:47,9.4942,50.8122,79.47,79,92,30.11
33,Dunedin,NZ,2021-06-13 16:56:47,-45.8742,170.5036,52.81,96,100,8.01
34,Meaford,CA,2021-06-13 16:56:47,44.6001,-80.583,79.18,75,99,1.01
35,Bluff,NZ,2021-06-13 16:56:48,-46.6,168.3333,52.41,97,100,16.91
36,Ushuaia,AR,2021-06-13 16:54:36,-54.8,-68.3,38.86,81,75,29.93
37,Camacupa,AO,2021-06-13 16:56:48,-12.0167,17.4833,62.26,33,22,2.68
38,Upernavik,GL,2021-06-13 16:56:48,72.7868,-56.1549,35.76,86,75,3.27
39,Namtsy,RU,2021-06-13 16:56:49,62.7161,129.6658,55.51,65,38,5.57
40,Butaritari,KI,2021-06-13 16:56:49,3.0707,172.7902,81.64,77,100,8.97
41,Catuday,PH,2021-06-13 16:56:49,16.2923,119.8062,78.76,79,100,6.71
42,Kapaa,US,2021-06-13 16:56:50,22.0752,-159.319,72.12,77,48,1.99
43,Tuktoyaktuk,CA,2021-06-13 16:56:50,69.4541,-133.0374,35.6,100,75,8.05
44,Bethel,US,2021-06-13 16:56:50,41.3712,-73.414,81.19,64,39,8.57
45,Agra,IN,2021-06-13 16:56:50,27.1833,78.0167,95.77,38,39,14.56
46,Arman,RU,2021-06-13 16:56:51,59.7,150.1667,44.1,73,8,3.85
47,Bredasdorp,ZA,2021-06-13 16:56:51,-34.5322,20.0403,56.52,82,95,4.61
48,Faanui,PF,2021-06-13 16:56:51,-16.4833,-151.75,80.29,78,12,16.98
49,Gobabis,NA,2021-06-13 16:56:52,-22.45,18.9667,59.74,27,3,8.23
50,Kholodnyy,RU,2021-06-13 16:56:52,62.7167,147.95,56.91,45,30,7.56
51,Kangaatsiaq,GL,2021-06-13 16:56:52,68.3065,-53.4641,35.33,88,99,7.7
52,San Vicente,AR,2021-06-13 16:56:53,-26.6167,-54.1333,71.62,36,0,3.91
53,Ontario,US,2021-06-13 16:52:54,34.0633,-117.6509,93.65,40,20,4.61
54,Barrow,US,2021-06-13 16:56:53,71.2906,-156.7887,35.62,93,90,11.5
55,Fairbanks,US,2021-06-13 16:55:04,64.8378,-147.7164,63.23,81,93,1.77
56,Turukhansk,RU,2021-06-13 16:56:53,65.8167,87.9833,43.86,65,26,5.21
57,Arraial Do Cabo,BR,2021-06-13 16:56:54,-22.9661,-42.0278,73.26,56,40,11.5
58,Margate,GB,2021-06-13 16:56:54,51.3813,1.3862,75.06,74,6,9.95
59,Maniitsoq,GL,2021-06-13 16:56:54,65.4167,-52.9,37.81,74,89,3.2
60,Bako,ET,2021-06-13 16:56:55,5.7833,36.5667,65.44,77,98,5.23
61,Saint-Philippe,RE,2021-06-13 16:56:55,-21.3585,55.7679,72.95,80,59,15.84
62,Raudeberg,NO,2021-06-13 16:56:55,61.9875,5.1352,56.98,86,100,24.65
63,Sitka,US,2021-06-13 16:56:55,57.0531,-135.33,58.91,63,34,4.45
64,Thompson,CA,2021-06-13 16:56:56,55.7435,-97.8558,48.36,87,90,11.5
65,Kodiak,US,2021-06-13 16:56:56,57.79,-152.4072,49.51,81,90,0.0
66,Kununurra,AU,2021-06-13 16:56:56,-15.7667,128.7333,57.18,82,99,0.0
67,Hermanus,ZA,2021-06-13 16:56:57,-34.4187,19.2345,58.89,87,87,6.67
68,Auray,FR,2021-06-13 16:56:57,47.6703,-2.9918,83.48,52,0,3.0
69,Agutaya,PH,2021-06-13 16:56:57,11.148,120.9417,82.4,69,98,3.78
70,Nouadhibou,MR,2021-06-13 16:56:57,20.931,-17.0347,78.78,57,100,19.57
71,Olafsvik,IS,2021-06-13 16:56:58,64.8945,-23.7142,43.9,72,100,17.25
72,Rio Gallegos,AR,2021-06-13 16:54:50,-51.6226,-69.2181,37.45,75,0,14.97
73,Vila,PT,2021-06-13 16:56:58,42.0304,-8.1588,70.68,83,62,5.66
74,Arlit,NE,2021-06-13 16:56:58,18.7369,7.3853,106.41,7,0,13.82
75,Coquimbo,CL,2021-06-13 16:56:59,-29.9533,-71.3436,58.73,67,20,5.75
76,Eureka,US,2021-06-13 16:56:59,40.8021,-124.1637,75.74,68,84,3.0
77,Rameswaram,IN,2021-06-13 16:56:59,9.2833,79.3,85.73,73,100,21.59
78,Fare,PF,2021-06-13 16:57:00,-16.7,-151.0167,79.88,79,6,17.94
79,Lac Du Bonnet,CA,2021-06-13 16:57:00,50.2536,-96.0612,74.75,49,3,9.64
80,Souillac,MU,2021-06-13 16:57:00,-20.5167,57.5167,75.58,69,75,16.11
